,advertiser,industry,job_category,job_description,job_title,job_type,link,location,posting_date,search_word,sub_location,salary_cleaned,job_categorised,industry_categorised
0,Ambition Technology,Information & Communication Technology,Engineering - Software,"Our client, a Major Australian University are looking to attract an experienced Data Engineer (3+ years) to join their business functions division to evolve current data management strategies and ensure the data pipelines are fit for purpose.This is an exciting role for someone seeking leadership responsibilities as you will mentor fellow Data Engineers, Data Analysts and Data Scientists on best practices for data management. You will design, build and operate data solutions within          cloud environments with a heavy focus on end-to-end data processes.The successful candidate will have the following skills and experience: Strong interpersonal skills (clear and confident communicator)Very strong expertise across Data Lakes and CloudStrong background in Data Discovery, Analytics and Business Intelligence Software tools. Previous experience with master and meta data managementVery strong expertise across Data Lakes and CloudIn-depth understanding of Information modelling including relational and database design.For more details please contact Raff Brancatella on (07) 3020 0343.",Senior Data Engineer,Full Time,https://www.seek.com.au/job/39024106?type=standout&searchrequesttoken=ecf4c524-4c06-49db-b277-3c98c5a97363,Brisbane,15 May 2019,data scientist,CBD & Inner Suburbs,120000.0,seinor data engineer,technology
1,Randstad - Technologies,Information & Communication Technology,Database Development & Administration,"The Data Engineer (Cloud/Data Lake) will play a key role in evolving our data management strategies. This will include maximising data and analytics success from making data available for experimentation through supporting transition from experimentation          to production and then by operationalising data delivery for production use cases by creating and maintaining data pipelines whilst guaranteeing compliance with data governance and data security. The Data Engineer (Cloud/Data Lake) will play a key role in evolving our data management strategies. This will include maximising data and analytics success from making data available for experimentation through supporting transition from experimentation          to production and then by operationalising data delivery for production use cases by creating and maintaining data pipelines whilst guaranteeing compliance with data governance and data security. This role is responsible for setting the direction in the building, managing and optimising of reusable data pipelines ensuring they are fit for purpose and designed for reuse to improve time-to-solution for data and analytics initiatives.The Senior Data Engineer will mentor and upskill the other data engineers, analytics and data science specialists on data management best practices to uplift the data and analytics maturity across the business. This position reports to the Data Manager.Key responsibilities include: Responsible for taking the lead in designing, building and operationalising production level data solutions within cloud environments, which includes end-to-end data processes that address data quality, data integration, data modelling and data            mining to create value or solve problems for the business.Play a senior role in collaboration with staff across the business in problem / opportunity analysis to frame the problem / opportunity, facilitating workshops to understand data needs and implement data solutions and data architecture working            in collaboration with the Senior Data Architect to support those needs and create value.Identify / design solutions to monitor and track data consumption patterns and schema changes, lead data curation activities and data quality assessments using data profiling tools, design data validation and data reconciliation solutions.Responsible for provisioning datasets quickly across multiple, distributed and often diverse datasets within and outside organisational boundaries, with involves in depth understanding of modern data preparation tools. This includes partnering            with the Data Governance team to ensure that data users and consumers use the data provisioned to them responsibility through data governance and compliance initiatives.Performing data extraction using database programming languages, design, develop, test, implement and monitor reporting and analytics products and be the technical expert in troubleshooting systems issues in Oracle, SQL or similar databases.Lead a community of practice to guide and mentor staff across the business and within the reporting and analysis team to promote best practices and uplift data capabilities.Keeping up to date with the latest and emerging technologies to provide recommendations, guidance and technical expertise. Real World Capabilities To deliver on the company’s global, collaborative and connected vision requires a workforce that embodies the following capabilities: Agility and openness to changeConnectivity and collaboration (intra and inter-disciplinary)Cultural inclusionDigital literacyFuture-focused thinking (strategic, innovative & design and entrepreneurial)Global in intent and reachLeadership of strategy, action and othersPerformance and resource management Selection CriteriaEducation, training and/or relevant experience equivalent to postgraduate qualifications in Computer Science, Management Information Systems or similar with at least 3 years’ experience in data engineering and a background in data analysis,            business intelligence or similar in a large and complex organisation.High-level interpersonal, written and verbal communication skills with the ability to quickly establish rapport, manage collaborative working relationships, engage with diverse client groups and work effectively in a high performance team to            achieve business outcomes.Experience working with popular data discovery , analytics and BI software tools for data discovery.Demonstrated experience in enterprise information solutions and capabilities such as master data management, meta data management, analytics, content management, data integration and related information management components.Expert level data literacy skills with demonstrated proficiency in cloud services and knowledge of various development and deployment environments on-premises, in the cloud and across multi cloud environments.Demonstrated ability to lead the design and development of end to end data solutions with large and diverse datasets, enabling automation and reuse of data flows across the organisation using agile methodologies With competitive remuneration including superannuation, the business offers real and generous benefits including:Reduced working year schemeParental leave provisionsStudy support encompassing leave and financial assistanceComprehensive professional developmentSalary Packaging For more information, email shona.morrin@randstad.com.au or call 07 3031 3264 for a confidential conversation.At Randstad, we are passionate about providing equal employment opportunities and embracing diversity to the benefit of all. We actively encourage applications from any background.",Data Engineer - Cloud / Data Lake,Full Time,https://www.seek.com.au/job/39015517?type=standard&searchrequesttoken=ecf4c524-4c06-49db-b277-3c98c5a97363,Brisbane,14 May 2019,data scientist,CBD & Inner Suburbs,111526.0,data engineer,technology
2,PRA,Information & Communication Technology,Consultants,"Brisbane CBD location - Permanent full time roleCompetitive SalaryConsultancy environment Our client's mission is to enable customers to use their data and analytics to build a competitive advantage and they want YOU to join their high performing team!Our client's expertise in data and analytics enables their customers            to fully utilise their data and analytics to maximise competitive advantage. They expertly deliver data-driven solutions for Digital and Customer Engagement services, aided by their expertise in Cloud & Technology.This is an exceptional            opportunity to diversify your technological abilities, lead solutions outcomes and gain new skills in leading technologies.On a day-to-day basis you will:Develop skills and knowledge including Advanced Analytics and Big Data technologiesWork on multiple projects across their broad client base You will have had experience in the following:Hands-on experience in databases and SQLSoftware development languages such as Python, Scala, Java, TSQL, PL/SQLKnowledge of Big Data technologies and Apache ecosystem technologiesExperience building end-to-end data pipelines using on-premise or cloud based data platforms Advantageous (but non-essential) experience:Any exposure to cloud-native data warehouses such as BigQuery, Redshift, Snowflake, Azure DWExposure to AWS, Google Cloud Platform or Azure is highly desirable Why work for our client?Learning & DevelopmentCareer ProgressionVariety of projectsPositive and diverse work cultureLife and salary insurance Our client is ambitious and experts in their field, they are looking for a dedicated professional who can contribute to their success, and they will ensure they contribute to yours.How to Apply:If            this sounds like you, pleaseAPPLY NOWor contact Andrew Kidd - andrew.kidd@pra.com.au or phone 07 3071 7205.",Data Engineer,Full Time,https://www.seek.com.au/job/38998989?type=standard&searchrequesttoken=ecf4c524-4c06-49db-b277-3c98c5a97363,Brisbane,11 May 2019,data scientist,CBD & Inner Suburbs,111526.0,data engineer,technology
3,Synergy Placements,Information & Communication Technology,Developers/Programmers, Contract role Large QLD organisation Brisbane CBD  This is an urgent contract role continuing for the duration of the project.In this role you will be defining what data sets the data scientist requires with the help of a data architect and builda data pipeline into a data lake that will be productionised.  Requirements:  Experience with Talend Open Studio or equivalent Expereince with implementing ETL processes or data pipelines Strong SQL skills Great data management understanding Relative Java experience  Please apply via Seek with a resume in Word format.Stephen Johnstone - 0415 234 886,Data Engineer Brisbane,Contract/Temp,https://www.seek.com.au/job/38957267?type=standout&searchrequesttoken=ecf4c524-4c06-49db-b277-3c98c5a97363,Brisbane,7 May 2019,data scientist,CBD & Inner Suburbs,208000.0,data engineer,technology
4,GRIT Talent Consulting,Information & Communication Technology,Database Development & Administration,"We are seeking an experienced Data Engineer for a 3 month contract for an organisation in the financial services sector. Successful candidates will possess strong ETL and SQL skills. This role will be working on:Defining what data sets the data scientist requires with the help of the data architectBuilding a data pipeline into a data lake that will be put into production. What skills, education, and experience we require:Knowledge and preferred demonstrable skills in Talend Open Studio or equivalent ETL solutionsExperience in developing and implementing ETL processes (or data pipelines) to pull data from various source systemsStrong SQL skillsSolid understanding of data managementExperience with Java for creating data processing jobs Apply now! Or contact Maddie on 0419 722 823 to discuss further. ",Data Engineer,Contract/Temp,https://www.seek.com.au/job/38943938?type=standout&searchrequesttoken=ecf4c524-4c06-49db-b277-3c98c5a97363,Brisbane,3 May 2019,data scientist,,208000.0,data engineer,technology
5,Luminoso Recruitment,Information & Communication Technology,Database Development & Administration,"The client:A well know and established entity based in Brisbane CBD. They are on a data journey at the moment and need the expertise of an experienced contractor.What will you do:  Define what data sets the data scientist requires incorporation with the Data Architect. Building a data pipeline into a data lake that will be productionised.  Skills and experience is required?  Knowledge and preferred demonstrable skills in Talend Open Studio or equivalent ETL solutions Experience in developing and implementing ETL processes (or data pipelines) to pull data from various source systems Strong SQL skills Solid understanding of data management Experience with Java for crating data processing jobs  If you have the skills and experience required for this role - my client would be very interested in having a conversation with you. This role will have a quick turn around, so don't wait.I look forward to discussing the detail with you - please submit an updated copy of your resume via this job board to enable a detailed conversation. If you are unsure and just want to have an initial chat, feel free to reach out! suki@luminoso.com.au 043 403 2941",Data Engineer (Contract),Contract/Temp,https://www.seek.com.au/job/38938333?type=standout&searchrequesttoken=ecf4c524-4c06-49db-b277-3c98c5a97363,Brisbane,3 May 2019,data scientist,CBD & Inner Suburbs,208000.0,data engineer,technology
6,Osborne Richardson,Engineering,Civil/Structural Engineering,"Osborne Richardson are specialist recruitment consultancy across technical roles to local councils throughout Australia. We are delighted to be working on behalf of our council client located between Brisbane and the Gold Coast in the search          for an Asset Data Engineer for a 6 month contract.Whilst you do not have to be a qualified Engineer, significant asset data and systems experience within a council environment is a key requirement, as is the provision of Roads and Drainage Asset Management data, and systems and financial reporting.Key Responsibilities:-Infrastructure Asset data requirements, adequacy, specification, schema and frameworkData capture, verification, condition assessment and integrity;Financial reporting of infrastructure values and consumption;Geographical and video information/data representation for Roads and Drainage assets.Contribution towards Asset Management Planning and community level of service determinations.Contribution towards Asset Management Plan development and review of Asset Management Policy and StrategyDevelopment and maintenance of systems to meet the asset management component of the Local Government Act and Regulations and State/Federal Government requirements.About you:-A sound knowledge of Asset Management Principles (preferably NAMS.PLUS/IPWEA International Infrastructure Management Manual)Excellent communication skillsStrong leadership skillsAvailable for a quick startPrevious experience with roads and drainage asset management systemsFor more information please forward your resume to vicky@oraus.com.au.",Asset Data Engineer,Contract/Temp,https://www.seek.com.au/job/39030419?type=standard&searchrequesttoken=ecf4c524-4c06-49db-b277-3c98c5a97363,Brisbane,15 May 2019,data scientist,Southern Suburbs & Logan,133120.0,data engineer,other
7,Just Digital People,Information & Communication Technology,Engineering - Software,"This role is a critical hire for this business driving their extensive growth throughout 2019 and into 2020. Data is at the core of this business in both research and commercial consulting; as such individuals in this space are joining a advanced        tech-first organisation.   What would you be doing?This role sits within the Data Engineering and DevOps department working on determining the needs of a project and deciding on the        best course of action to execute. You'll be working hand in hand with the Machine Learning Engineering team to craft the right solutions against the specs / client needs.   Some of the work you'd be jumping into:-        Creating, improving and implementing Systems Architecture plans- Writing Data cleaning and parsing programs to be utilised by ML Engineers- Work with cloud platforms (AWS / GCP) and it's tools to promote / optimise data architectureWhat experience, education and skills are we looking for?This        role requires someone that has a thorough background in data, understands the nuances of emerging and existing technologies and has enough commercial experience to hit the ground running.  The majority of work this team / business        is tackling is within Bioinformatics so a genuine interest in the space is definitely helpful.  Ideally, we're looking for:- Bachelor's degree in IT, Computer Science, Software Engineering or similar- Experienced with        Python, Java or a similar programming language for creating data processing jobs.- Experienced (commercially or privately) with big data platforms like Spark, Hive, Hadoop, Presto, ElasticSearch or similiar- Experienced working with        Workflow management tools  Nice to have:- Cloud Platform Certs (AWS Cert Solutions architect, GCP Certified Data Engineer etc)Why work for this business??This business is an ideal fit for someone        looking for diversity in their work, daily challenges, dealing with all kinds of data and building solutions to scale real-world implementations.  You'll get to work with tech the broader Australian market isn't touching        yet while truly helping change the landscape of important industries like bio-tech / bioinformatics.If this sounds of interest to you and you have a few years commercial experience to back you up - lets have a conversation!!scott@justdigitalpeople.com.au0408 792 632",Data Engineer (Bioinformatics),Full Time,https://www.seek.com.au/job/38890885?type=standout&searchrequesttoken=ecf4c524-4c06-49db-b277-3c98c5a97363,Brisbane,29 Apr 2019,data scientist,,111526.0,data engineer,technology
8,Fugro Australia Land Pty Ltd,Information & Communication Technology,Engineering - Software,"About FugroFugro is the world's leading, independent provider of geo-intelligence and asset integrity solutions for large constructions, infrastructure and natural resources. We provide the technical data and information required to design, construct and          maintain structures and infrastructure in a safe, reliable and efficient manner. Working around the globe, predominantly in energy and infrastructure markets, we employ approximately 10,000 employees in 65 countries.About the Brisbane officeThe R&D teams at Fugro Brisbane have a strong focus on automating complex spatial data analysis workflows, and providing information to clients via intuitive web-based interfaces. Real world          data (LIDAR point clouds, imagery, sonar, multi-beam) is captured remotely by boats, autonomous underwater vehicles, planes or helicopters. Data are uploaded to AWS, and distilled to provide clients insight via the use of modern machine learning,          scalable cloud computing, and 3D visualisation approaches.We strive to provide a positive and flexible work environment, where experimentation and on-going learning is encouraged.About the roleIn this role you will:Improve and extend our scalable cloud platform, facilitating the storage, processing and retrieval of data such as point clouds and imagery at the petabyte scale.Work alongside our data scientists to implement algorithms and machine learning at scale.Maintain the integrity and high availability of our platform and services.To succeed in this role you will need to:Have an engineering mindset passionate about building resilient and scalable software.Be an avid learner and love working in a varied and high-pace environment.Be an excellent communicator and thrive working in a team.Be mathematically literate and comfortable working with concepts such as 3D geometry.Be competent in languages such as C++, Python or Java.We are particularly interested in candidates which may have some of:A practical understanding of algorithmic complexity, data structures, and methods to accelerate access to data (such as spatial indexing).Experience with horizontally scaling of workloads (e.g. cloud or HPC).An interest in low-level/embedded programming, data formats, and related.Working knowledge of GIS concepts.Experience working with sensors, sensor data or geopositioning.Experience with scientific computing (e.g. with Julia, Python, MATLAB, R, C++, etc).A Master’s or PhD in a technical discipline (or equivalent).What's on offer:Work across leading edge technology in a highly experienced digital teamBe a core member in an innovative and creative business unitParking spot available and flexible working hoursRegular social activitiesApply now via SEEK for this unique opportunity!Applications through recruitment agencies will not be accepted at this time",Data Engineer,Full Time,https://www.seek.com.au/job/38995159?type=standard&searchrequesttoken=ecf4c524-4c06-49db-b277-3c98c5a97363,Brisbane,10 May 2019,data scientist,CBD & Inner Suburbs,111526.0,data engineer,technology
9,Servian,Information & Communication Technology,Consultants,"We are looking for outstanding Data Engineers to join our team in Brisbane. You'll join a consulting firm that offers a variety of projects and a structured learning and development path.The opportunityThis is an exceptional opportunity for those who are eager to diversify their technical ability, lead solutions outcomes and become skilled in new and leading technologies. You will be working alongside some of the most talented technologists          in the industry, who's thinking and experience has driven Servian's growth and success.About YouAs a skilled Data Engineer you bring hands-on experience in databases and SQL and software development in languages such as Python, Scala, Java, TSQL, PL/SQL to name a few.You will also bring skills in Big Data technologies and Apache ecosystem technologies such as Spark, Kafka, Hive, Airflow, NiFi and have experience building end to end data pipelines using on-premise or cloud based data platforms.Any exposure to cloud-native data warehouses (BigQuery, Redshift, Snowflake, Azure DW) is desirableExposure to AWS, Google Cloud Platform or Azure is highly desirable.You have a desire to learn and acquire new skills including Advanced Analytics and Big Data technologies and like being part of high performing teams and sharing your knowledge with your peers.About usServian is a consultant led organisation. We invest heavily in our consultants to ensure they have the technical skills and commercial acumen to be successful in their work. Our consultants have a passion for solving complex problems. They are          curious, ambitious and experts in their fields. We have developed a first-rate team so you will be supported and learn from the best.Our business is structured across 5 main pillars:Data & Analytics -BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced AnalyticsCustomer Engagement -Marketing Campaigns, Campaign Analysis, Customer InsightsDigital -Full stack Development, UI/UX Design, Mobile DevelopmentArtificial Intelligence -Natural Language Processing, Computer Vision, Machine Learning, Deep LearningCloud & Technology -Cloud Services (AWS, Azure, Google Cloud Platform)What we offerLearning & Development:We invest heavily in our consultants!We run internal training on a weekly basis (knowledge sharing sessions, focus groups, and our own Toastmasters Club.) We also encourage and sponsor            certifications (We presently have over 50 consultants certified in GCP and AWS)Career progression:As a consulting firm which has huge growth plans over the next 2 years, our leadership team is continually looking for technologists who want to develop their careers as people leaders and as senior            advisors.Variety of projects:As a consultant, you will have the opportunity to work across multiple projects across our client base significantly increasing your skills and exposure in the industryAlongside the above, we also provide employees with Life and Salary Insurance and a sociable workplace that values its diversity.If you’re looking for the opportunity to step up into a leadership position and are excited by the thought of getting your hands dirty with the latest tech-stacks/methodologies, don't hesitate to hit the apply now button below.",Consultant - Data Engineer,Full Time,https://www.seek.com.au/job/38896497?type=standout&searchrequesttoken=ecf4c524-4c06-49db-b277-3c98c5a97363,Brisbane,29 Apr 2019,data scientist,CBD & Inner Suburbs,111526.0,data engineer,technology
